Unnamed: 0,小区名称,具体地址,建成时间,挂牌均价,经度,纬度
214,永康城馨宁佳苑,(闵行浦江)永跃路555弄,2013年 ,29014,121.509715,31.031028
215,永康城星华园,(闵行浦江)盐铁塘路565弄,2014年 ,25693,121.501423,31.034366
216,永康城锦宏苑,(闵行浦江)永跃路550弄,2013-2015年 ,30080,121.510304,31.031153
217,新骏环路158号,(闵行浦江)新骏环路158号,2012年 ,0,121.520837,31.088536
218,华侨城中意国际中心,(闵行浦江)浦星路800号,2014年 ,0,121.508130,31.103617
219,华侨城中意国际中心,(闵行浦江)浦星路800号,2014年 ,0,121.508130,31.103617
220,新都名园,(闵行七宝)中春路8889弄56支弄,2010年 ,63757,121.334639,31.156050
221,万顺水原墅(别墅),(闵行颛桥)都市路777弄,2002-2012年 ,49380,121.416033,31.042576
222,锦绣江南五期(公寓),(闵行金汇)虹秀路78弄,2011年 ,95345,121.368019,31.166462
223,皇都花园(别墅),(闵行七宝)顾戴路2000弄1-30、35-42、47-54、59-66、111、115、125、127号,2003-2005年 ,88206,121.368979,31.136292
224,金汇福邸,(闵行金汇)虹井路618弄99-133号,2003年 ,67190,121.369996,31.183836
225,三宏公寓,(闵行闵浦)闸航路2550弄15支弄,2004年 ,22654,121.535612,31.020376
226,汇秀景苑一街坊,(闵行闵浦)浦航路178弄,2013年 ,30656,121.542186,31.044173
227,西郊虹韵城景雅苑,(闵行华漕)开兴路199弄,2010-2013年 ,38566,121.292865,31.222044
228,叶家桥路381弄,(闵行闵浦)叶家桥路381弄,2004年 ,0,121.527762,31.062935
229,龙湖虹桥天街,(闵行华漕)申滨南路938号,2015年 ,0,121.313622,31.189505
230,聚缘中庭,(闵行闵浦)闵驰一路50弄,2013-2018年 ,31851,121.545515,31.041520
231,雍华府(公寓),(闵行颛桥)沪光路555弄,2009-2011年 ,60424,121.406813,31.074728
232,锦绣江南(二期),(闵行金汇)金汇南路91弄,2003-2004年 ,81888,121.376602,31.170912
233,碧林湾(别墅),(闵行七宝)中谊路888弄,2004年 ,83530,121.353940,31.140553
234,南郊别墅(公寓),(闵行颛桥)中春路3455弄,2005-2007年 ,56029,121.375363,31.087575
235,碧林湾南苑(华友路260弄),(闵行七宝)华友路260弄,2004年 ,78089,121.356285,31.136564
236,春申景城湖滨晨韵,(闵行春申)莲花南路1111弄,2005-2006年 ,79521,121.412026,31.106332
237,绿野香洲(公寓),(闵行七宝)中谊路666弄,2004年 ,66990,121.356590,31.141451
238,万科凭栏苑,(闵行七宝)中春路8888弄211-226号,2003年 ,81078,121.336990,31.157265
239,敬南苑,(闵行马桥)敬南路251弄,2015年 ,32620,121.367664,31.031993
240,东苑世纪茗苑,(闵行莘庄北广场)莘东路298弄,2002年 ,81202,121.377227,31.109283
241,虹桥协信中心,(闵行华漕)兴虹路168弄,2016年 ,0,121.315271,31.203993
242,爱博七村,(闵行华漕)博恒路289弄,2013年 ,40717,121.305086,31.222750
243,枫荷兰庭,(闵行七宝)宝联路88弄,2009年 ,68165,121.353642,31.146324
244,银石科技大厦,(闵行七宝)顾戴路2568号,2011-2015年 ,0,121.359881,31.131236
245,碧林湾南苑(华友路150弄),(闵行七宝)碧林湾南苑,2004年 ,62876,121.356312,31.136902
246,莲浦府邸（东区）,(闵行七宝)宝铭路88弄,2005-2008年 ,85795,121.366189,31.139655
247,万兆家园金座,(闵行七宝)七莘路2841弄,2002-2003年 ,0,121.351797,31.151703
248,东方花园三期,(闵行七宝)荣谊路108弄,2008年 ,75979,121.364366,31.143751
249,东方花园二期,(闵行七宝)新镇路603弄,2003-2006年 ,73686,121.364756,31.145377
250,紫薇苑,(闵行金汇)红松路81弄153支弄,2015-2016年 ,110429,121.377270,31.180264
251,金臣汇,(闵行华漕)金杰路5弄,2001-2016年 ,90787,121.269705,31.201458
252,虹桥天地广场,(闵行华漕)苏虹路29-33号,2013年 ,0,121.315698,31.194801
253,万科时一区(写字楼),(闵行华漕)泰虹路268弄,2007-2015年 ,0,121.309948,31.200715
254,新华红星国际广场,(闵行金汇)虹井路120弄,2015-2017年 ,0,121.372358,31.175002
255,万科时一区（一期）,(闵行华漕)申郑路18弄,2014-2016年 ,78248,121.311372,31.203531
256,爱博三村,(闵行华漕)申滨路1058弄,2006-2010年 ,49571,121.310212,31.210411
257,爱博四村,(闵行华漕)天山西路4358弄,2010-2011年 ,43858,121.304311,31.213695
258,爱博二村,(闵行华漕)申滨路1051弄,2009-2019年 ,44019,121.306171,31.205793
259,爱博一村,(闵行华漕)宁虹路1101弄,2008年 ,47282,121.310219,31.207777
260,富力虹桥十号,(闵行华漕)申贵路1599弄,2012-2016年 ,81034,121.317869,31.207567
261,爱博六村,(闵行华漕)申长北路185弄,2012年 ,39404,121.308012,31.220600
262,绿地旭辉e天地,(闵行华漕)保乐路69弄,2015年 ,0,121.291772,31.207715
263,塘泾南苑,(闵行吴泾)曹家塘路220弄,2015年 ,44887,121.446006,31.041642
264,西子国际中心,(闵行莘庄北广场)秀文路898号,2011-2014年 ,0,121.363556,31.123435
265,鑫都城紫云华庭,(闵行颛桥)新源路3122弄,2014-2016年 ,59174,121.394974,31.054494
266,红梅雅苑,(闵行闵浦)西城一路177弄,2013年 ,28729,121.529306,31.021200
267,春申景城湖滨晨韵,(闵行春申)莲花南路1111弄,2005-2006年 ,79521,121.412026,31.106332
268,紫堤苑,(闵行华漕)北翟路5088弄,2000-2001年 ,40664,121.297981,31.205857
