小区名称,房源数量,平均单价,经度,纬度
解龙小区,3,95729,121.454153,31.184023
誉仁家园,2,100756,121.45556,31.156623
诸家宅小区,1,76661,121.436307,31.188334
谨斜小区,15,93630.73333333334,121.448534,31.193321
轻工大木桥小区,11,77907.63636363637,121.461593,31.197516
轻工大楼,3,72181,121.459143,31.196867
迎春园,5,49930.2,121.417629,31.147241
远雄徐汇园,10,141286.7,121.464075,31.19805
金丽广场,5,65923.4,121.419745,31.177569
金塘小区,3,71496,121.426505,31.148375
金桂苑(徐汇),5,63409,121.431842,31.199136
金浦大楼,2,59702,121.436823,31.175367
金海大厦,8,67853.25,121.436859,31.16923
金牛苑,1,75484,121.433844,31.151293
金祥苑,3,88049,121.41881,31.179589
金色港湾,6,116829.5,121.436307,31.188334
金衡公寓,2,94535,121.436102,31.173919
金诚花园,2,107498.5,121.436307,31.188334
金谷园,27,82114,121.437093,31.176243
金轩公寓,2,87564.5,121.439696,31.188397
金龙花苑牡丹园,16,86848.1875,121.455752,31.168269
金龙花苑玫瑰园,2,89333,121.455752,31.168269
金龙花苑茶花园,1,99428,121.456914,31.169277
鑫国家园,1,112274,121.439809,31.186294
鑫耀中城,1,157986,121.414655,31.167965
鑫隆花园,13,58049.07692307692,121.436307,31.188334
钦州公寓,6,63062.166666666664,121.42769,31.175731
钦州大厦,3,71941.33333333333,121.431414,31.161489
钦州花苑,15,55068,121.42702,31.178374
钦州路111弄,3,72408.33333333333,121.432025,31.162218
钦江大楼,2,55811,121.513591,31.264069
铭源大楼,1,69593,121.436278,31.174917
银亿徐汇酩悦,5,89715,121.459845,31.197952
银星名庭,2,79064,121.437294,31.169061
银海苑,2,96349.5,121.461788,31.196562
锦岩小区,5,115184.8,121.456254,31.207299
锦汇苑,1,105264,121.434315,31.187927
锦泰苑(徐汇),2,53920,121.431842,31.199136
锦蝶苑,3,94439.33333333333,121.451046,31.192663
锦馨公寓,4,80812.5,121.417829,31.190104
锦馨苑,16,77014.625,121.4159,31.189969
长丰坊,4,62739.75,121.415655,31.1538
长乐路447号,1,134373,121.454007,31.218278
长乐路681号,3,115317,121.449447,31.216354
长兴坊,4,61108,121.415074,31.156838
长峰小区,5,72181.4,121.454348,31.153157
长春小区,1,73590,121.422222,31.183974
长春新苑,2,65452,121.436307,31.188334
长桥一村,9,78015.33333333333,121.438871,31.136311
长桥三村,15,55805.46666666667,121.438871,31.136311
长桥五村,7,72831.71428571429,121.435559,31.135959
长桥八村,6,51104.333333333336,121.439768,31.131052
长桥六村,6,66822.33333333333,121.438871,31.136311
长桥四村,10,57393.4,121.439373,31.133515
长桥新村,2,65925,121.442557,31.137444
长海坊,2,60334.5,121.419002,31.157108
长虹坊,6,66933.66666666667,121.416512,31.157263
长陇苑,14,46764.42857142857,121.429647,31.136135
长青坊,3,73217.33333333333,121.417606,31.154362
长顺坊,14,70727.57142857143,121.416512,31.157263
阳光名苑,2,135842,121.449362,31.194476
阳光新景,1,78176,121.42697,31.135832
阳光绿园,12,87652.08333333333,121.436307,31.188334
