小区名称,房源数量,平均单价,经度,纬度,驾车距离(米),所需时间(秒)
天钥花苑,1,99568.0,121.439413,31.187293,3221,693
天际花园,2,122113.0,121.436307,31.188334,3493,786
天龙公寓,2,84201.5,121.445307,31.179077,2364,447
天龙苑,2,89059.0,121.447612,31.156471,3963,692
安福路229弄,2,258621.0,121.442838,31.2134,4755,1075
宏润花园,12,115250.58333333331,121.436307,31.188334,3493,758
宛南一村,3,88226.0,121.450832,31.184003,1577,272
宛南二村,2,92867.0,121.450009,31.184087,1800,416
宛南五村,9,100807.77777777778,121.448127,31.180509,1062,478
宛南六村,6,116969.33333333331,121.44698,31.178956,2560,508
宛南华侨新村,1,95625.0,121.450487,31.181143,2045,489
宛南四村,4,82010.0,121.450444,31.18158,1998,478
宛平南路170弄,5,85243.4,121.445602,31.193828,3341,714
宛平南路240弄,1,89439.0,121.446047,31.193114,3430,731
宛平南路268弄,2,95005.5,121.44637,31.192901,3415,725
宛平南路493弄,2,86331.0,121.4487,31.189449,2714,581
宛平南路65弄,7,87541.42857142857,121.446633,31.196566,2896,681
宛平路6弄,1,128212.0,121.440207,31.204257,3834,820
宛龙小区,10,81230.1,121.448921,31.182033,1951,448
宜仕怡家,4,104211.75,121.441222,31.176354,2776,502
宜山路518弄,5,77670.6,121.424562,31.182118,4449,762
宜山路691弄,2,84419.0,121.421324,31.175504,5217,851
宜山路701弄,2,76672.0,121.417893,31.173662,5038,1051
宜德苑,3,103275.66666666669,121.426571,31.185311,4571,788
实业公寓,1,97389.0,121.437005,31.192796,3847,901
家乐苑,5,56560.0,121.433179,31.135803,7792,1272
宾阳路居民区,3,70304.66666666667,121.437339,31.163818,3675,801
寿山坊,7,68814.85714285714,121.422434,31.152497,7125,1095
寿德坊,1,71733.0,121.421856,31.154131,7107,1090
寿昌坊,4,66164.5,121.420029,31.150993,7450,1135
寿益坊,9,66561.22222222222,121.417533,31.151871,7502,1114
寿祥坊,7,66750.42857142857,121.419231,31.151108,7374,1114
小木桥路101弄,7,80931.71428571429,121.457917,31.199043,2714,570
尚汇豪庭,7,139345.85714285713,121.431879,31.178763,4068,700
尚汇豪庭二期,1,149542.0,121.42752,31.180832,5145,1090
尚海湾豪庭一期,36,146905.02777777778,121.460283,31.179931,584,122
尚海湾豪庭三期,23,173507.26086956522,121.460283,31.179931,584,122
尚海湾豪庭二期,3,151164.33333333334,121.460283,31.179931,584,122
尚谊小区,3,99501.0,121.453708,31.195178,2189,471
岳阳大楼,1,128460.0,121.453057,31.203696,3476,670
岳阳路200弄,1,134861.0,121.451693,31.204431,3606,831
岳阳路77弄,2,132335.0,121.453274,31.207684,3945,939
市民村,1,91181.0,121.430049,31.196856,5244,1084
常熟路165号,1,97115.0,121.449316,31.21516,4288,930
常熟路228弄,4,117867.5,121.448638,31.214437,4075,884
平华大厦,2,88961.0,121.456781,31.201206,3503,649
平成阁公寓,1,68072.0,121.423731,31.172649,4913,980
平江大楼,4,82735.25,121.456712,31.200351,2764,551
平江路273弄,1,147672.0,121.451975,31.199257,3224,680
年平花苑,2,107277.0,121.459504,31.20763,5198,896
广元路193号,1,107143.0,121.438503,31.198632,3722,779
广厦公寓,2,71711.0,121.416508,31.180188,4804,994
广汇花苑,2,75853.0,121.454926,31.191767,2170,545
庆余公寓,5,101581.2,121.4283,31.189554,4431,984
康乐小区(徐汇),3,69276.0,121.431842,31.199136,5524,1206
康健公寓,1,73442.0,121.421457,31.156516,7475,1146
康健路100弄,2,68736.5,121.426746,31.164821,5007,1090
康健路120弄,2,65044.0,121.426599,31.16537,4944,1074
康健路17号,1,71139.0,121.432845,31.165653,4879,790
康健路24弄,3,63567.333333333336,121.431253,31.165414,5029,818
康健路25弄,4,68317.25,121.432385,31.166377,5039,846
康健路77弄,3,71850.66666666667,121.428788,31.165898,4794,988
康健路7号,3,64936.0,121.433218,31.165474,4856,791
康宁坊,4,68335.0,121.427561,31.158405,6131,1002
康平路207弄,1,132253.0,121.438589,31.199977,4065,874
康强坊,3,79671.0,121.424651,31.154284,6737,1121
康沁苑,2,90217.0,121.424058,31.162282,6849,1095
延庆路11弄,1,117791.0,121.452396,31.216446,4927,1042
建国西路211弄,2,127344.0,121.461749,31.205858,4326,752
建国西路358弄,3,129819.0,121.456274,31.204788,4927,877
建国西路613弄,1,108290.0,121.44846,31.201101,2908,679
强生花苑,6,102603.5,121.444197,31.176158,3096,563
徐家汇景园,1,103539.0,121.427982,31.189023,4504,968
徐家汇花园,13,115313.46153846152,121.447207,31.193531,3450,735
徐汇一品苑,3,147961.33333333334,121.440473,31.213324,4579,1003
徐汇世家花园,5,95836.4,121.431842,31.199136,5524,1206
徐汇公园道壹号一期尊庭,6,146642.66666666666,121.431842,31.199136,5524,1206
徐汇公园道壹号二期臻庭,9,156532.11111111112,121.435126,31.159736,6172,1021
徐汇华园,1,79429.0,121.452788,31.129171,8089,1086
徐汇嘉馨公寓,1,107587.0,121.459682,31.200631,3098,675
徐汇御景苑,2,99598.0,121.447899,31.166504,3140,561
徐汇御苑,5,109323.6,121.454748,31.192556,2471,642
徐汇新城(公寓),5,89655.8,121.45183,31.132446,7750,1100
徐汇汽车公寓,4,96067.0,121.45987,31.195599,2273,486
徐汇苑,17,107046.17647058824,121.445207,31.178906,2366,442
徐汇锦梅苑,11,67811.45454545454,121.42401,31.132862,8198,1270
徐汇长春苑,3,79612.0,121.42147,31.181051,4529,984
徐虹公寓,5,83882.8,121.42584,31.186707,4753,825
徐虹北路28弄,3,104872.66666666669,121.428443,31.19036,4309,928
徐虹路112弄,2,108674.0,121.431391,31.189893,3946,856
德昌路20弄,2,147059.0,121.441295,31.201232,3570,775
怡桂苑,4,72834.0,121.416183,31.176131,6543,1137
恒地苑,5,99339.0,121.445817,31.166314,2836,484
恒昌花园,5,88320.4,121.447528,31.193195,2946,668
悦兴苑,4,83347.5,121.454239,31.15689,4630,786
愉园,1,116489.0,121.448679,31.212458,4041,921
懿园,2,159084.5,121.450313,31.203889,3832,777
振兴小区(徐汇),8,93832.5,121.431842,31.199136,5524,1206
挹翠苑,12,84259.83333333333,121.445163,31.154481,4651,803
文南公寓,4,90639.5,121.443633,31.189916,2846,590
文定天下苑,3,134918.66666666666,121.431206,31.184395,4028,748
文定路85号,1,105766.0,121.433513,31.187902,3687,864
文定路89号,3,114812.33333333331,121.433514,31.187904,3687,864
斜土路1358弄,2,93488.0,121.46262,31.197792,3786,674
斜土路1620号,3,86608.66666666667,121.458003,31.196249,2461,512
斜土路2200弄,7,85400.42857142857,121.449843,31.191214,2273,566
新汇公寓,3,93945.0,121.446141,31.195053,3182,680
新汾阳公寓,4,127250.5,121.454424,31.210769,4104,871
新湖云庭,10,93671.9,121.460879,31.191366,1819,438
新贵都万体景苑,5,123709.6,121.442248,31.186828,2894,524
日晖二村,2,99853.0,121.465461,31.193658,2465,492
日晖五村,1,121790.0,121.466738,31.198016,2836,517
日晖六村,5,94807.0,121.460511,31.195333,2513,513
日晖新城,4,102272.0,121.436307,31.188334,3493,778
时运大楼,1,77667.0,121.464152,31.200394,3076,593
明丰新纪苑,4,81556.75,121.452874,31.12694,7894,1019
明佳苑,2,87692.0,121.442184,31.176541,3661,629
明华苑,5,111030.8,121.432243,31.189056,4046,856
明园世纪城,5,102792.8,121.458887,31.212035,4407,894
明园小安桥,2,106717.0,121.422714,31.184892,4653,792
明安馨苑,2,106438.5,121.44193,31.176451,3628,617
春华苑,9,60234.0,121.416069,31.139614,9031,1485
景泰大厦,2,82588.0,121.464825,31.199864,2905,545
月季园(徐汇),3,59889.0,121.410929,31.149031,8739,1337
望族城,3,61760.66666666666,121.435645,31.169896,4453,712
杜鹃园,8,58163.375,121.412937,31.155429,7690,1232
松风花园,8,61446.375,121.433243,31.132926,7755,1287
林肯公寓,3,130581.0,121.445067,31.208786,3749,832
枫林大楼,9,87767.66666666667,121.45305,31.200009,2736,668
枫林新村,1,98620.0,121.459591,31.191465,2152,463
枫林路14弄,2,82316.0,121.453316,31.200027,3185,662
柳州路200号—柳州路210号,1,60737.0,121.425509,31.162468,6481,1020
柳州路374弄,3,78663.66666666667,121.424231,31.169693,4889,1104
柿子湾小区,6,102283.33333333331,121.429589,31.189676,4118,850
柿子湾路8弄,1,103589.0,121.428803,31.187692,4475,925
桂平小区,11,65532.63636363636,121.408509,31.159137,8360,1350
桂平路277弄,4,66447.75,121.406932,31.158517,8315,1321
桂康小区,4,77995.25,121.419243,31.165683,5591,1136
桂林苑,15,71254.53333333334,121.413075,31.180682,5125,1070
桂莘小区,7,65357.71428571428,121.407602,31.16003,8507,1352
梅花园,1,57046.0,121.41342,31.150038,8236,1186
梅苑,5,52332.2,121.436307,31.188334,3493,778
梅陇七村,8,54567.0,121.422833,31.139244,7469,1193
梅陇三村,15,54216.333333333336,121.412822,31.14129,8368,1092
梅陇九村,21,54550.95238095238,121.422109,31.129608,8736,1390
梅陇五村,27,51361.81481481482,121.42261,31.133744,8396,1297
梅陇六村,14,52934.5,121.412822,31.14129,8368,1092
梅陇十一村,28,53871.857142857145,121.426918,31.13342,7884,1234
梅陇十村,7,52074.57142857143,121.423617,31.130903,8643,1356
